country,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,0,516,562,470,528,491,418,395,434,377,323,263,267,248,422
Angola,1136,1009,998,1090,1185,1236,1161,1341,1110,1026,1084,1106,944,1231,991
Argentina,65.7742,60.9,82.7742,65,53.3226,34.0968,37.7931,50.4516,132.5333,132.0968,68.5667,77.2258,0,0,0
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,280.7732,287.6757,293.6113,338.7743,282.1997,277.4448,165.6979,312.6306,249.3517,197.3258,279.5687,188.5294,362.5565,303.1527,207.7865
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,552.9877,560.857,540.3874,544.3973,561.5465,540.3874,535.7228,539.6742,575.597,469.5403,453.255,453.6116,478.099,520.0763,478.3368
Bahrain,150.2529,151.822,138.1281,154.5243,198.7523,133.611,167.731,146.2113,151.3307,146.2113,134.134,155.0077,164.7552,148.137,0
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,49.8377,56.4037,42.2434,33.8422,32.9878,0,0,0,12.2617,42.7181,33.1065,33.6998,32.5132,35.0684,0
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,1330.3871,1324.9333,1577.0645,1671.3667,1465.5484,1599.5806,1419.7931,1431.0323,1865.2,1295.7097,1666.5333,1716.0645,1287.4516,1135.3667,1221.129
Brunei Darussalam,104.6905,106.2596,124.8724,120.8708,113.6525,88.5538,75.7983,93.2676,95.7365,94.5899,69.9197,53.7034,85.4925,95.3131,92.2385
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,3294.6277,3242.8,3290.3484,3124.88,3380.4526,3375.2223,3359.9576,3445.5939,2846.7853,2783.9581,2727.3913,3101.819,3031.6852,3023.174,3007.4355
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,0,19.52,0,12.2,0,7.383,7.5041,33.0581,0,0,16.6419,41.4849,54.8792,78.5573,16.2217
Chinese Taipei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,1.1965,0,0,13.8469,13.8788,16.0325,6.6506,16.9896,6.6762,17.4682,5.1926,13.4003,13.4003,9.6434,4.7858
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,30.6687,58.223,37.3255,39.5523,31.8574,46.5974,10.6738,34.2348,32.428,14.9777,48.642,15.4532,7.8455,19.899,15.4532
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,405,440,373,423,374,0,0,0,0,0,0,0,0,0,0
Egypt (Arab Rep.),99.0639,102.366,103.0452,123.662,88.5252,88.5252,78.1076,73.0684,97.042,118.0335,107.932,75.8787,102.5768,122.936,0
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,113,87,116,94,82,115,145,115,150,50,117,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,243,137,208,215,208,158,186,225,230,203,276,134,0,159,0
Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,14.5023,0,6.8945,0,6.8945,0,0,7.1323,0,0,0,7.1323,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,9.1935,0,9.0645,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,0.7132,4.422,0,0,0,0,0,10.2229,0,4.5171,0,9.2719,9.0342,4.6677,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,69.3053,63.8045,55.6331,60.6316,85.8065,16.1469,58.725,32.6258,0,30.6187,60.9019,68.8987,90.1896,116.8107,76.636
